,freq_p_change,control_cum_log_price_lag1,control_cum_log_price_lag2,control_cum_log_price_lag3,control_cum_log_price_lag4,std_MP_median_lag1,std_MP_median_lag2,std_MP_median_lag3,std_MP_median_lag4,upstreamness,std_MP_median,std_MP_median_upstreamness
0,0.0871677203731463,-0.011443367025090086,-0.010770879024300756,-0.012907010715031936,-0.002120270355529169,-0.0012619827118202061,-0.0029338030528572117,-0.0023714488401251027,0.00020370802126915886,-0.0015714537633701843,-0.0009639779714655298,0.00033901538877111574
1,0.14558488742753115,-0.021050629615919313,-0.01789145854082016,-0.0156937469590591,-0.014510223303673261,-0.004593139759743687,-0.005265936072039192,-0.0016250732561757172,0.0009071097721192644,-0.0021816577630246457,-0.0034764865519321445,0.0008151419118646037
2,0.15947965745758813,-0.0333407625485074,-0.019722311238418642,-0.03292426882947207,-0.025642836975901296,-0.007613011516269414,-0.005181753991873829,-0.001116676051587928,0.0002732128285740038,-0.001545153773618106,-0.00565327172897866,0.0009782739464609847
3,0.16248954116013997,-0.03390629228731073,-0.03948621615052339,-0.052289016495151545,-0.04177020617453742,-0.008786903239969664,-0.005664403360008804,-0.0015274821456639509,0.0013428945806211643,0.0004388981287867093,-0.0073125073172223935,0.0008639571841180244
4,0.16875688029908395,-0.04774351502657436,-0.05520464656555383,-0.06411780342830811,-0.03881230743751308,-0.010895979840232758,-0.00642024732530685,-0.00013878040759060658,0.0043206199662402045,-3.8120102841506565e-05,-0.008272367131280656,0.0005077373163934894
5,0.13098534523023592,-0.06579512025794385,-0.06665448545464503,-0.060594623424604435,-0.0347421273729106,-0.011326851539757939,-0.005477538074021068,0.0024619373283686643,0.006375416899920901,-0.001748466301942112,-0.008351024985770764,-5.483996515485348e-05
6,0.07518296820865043,-0.07420132461522079,-0.06570900601139902,-0.06973890363188762,-0.04096656407939226,-0.010472198612248724,-0.0034560638117012077,0.004805085136345264,0.0070626519456066204,-0.003578125212677201,-0.007366654695310035,-0.0007882289689692388
7,0.043576609108661735,-0.07849505881250057,-0.07666319001358671,-0.08011379639006111,-0.042134829864309775,-0.009257206892082639,-0.0014126776088564245,0.006095746047872112,0.007988179513229965,-0.005909898529425395,-0.00524839542526347,-0.001633613243543756
8,0.028601167143602575,-0.08289277834658701,-0.08821123955718839,-0.0872284082995145,-0.03843431235784108,-0.007576694756068248,-0.00029252347984004166,0.0075376062439795185,0.009920963740890111,-0.008489018812883905,-0.0023692477439868367,-0.002439093297579922
9,-0.0028171992689645232,-0.09111148096543768,-0.08684763944737386,-0.07161284146341095,-0.037508409835905476,-0.003363647418885054,0.0010545984213209802,0.00924927497080136,0.010284686407742747,-0.010113372150387798,0.0007868224294164099,-0.00302949887983111
10,-0.04600742604805926,-0.09074464462735898,-0.07380754018163993,-0.0726811513320093,-0.0382250788115396,-0.000773427693185384,0.0037052036237404753,0.0094427445150657,0.007993291812272664,-0.012509616776433136,0.003735849175842815,-0.0032296597390506945
11,-0.04452208278218346,-0.0756142855935637,-0.07187743823696006,-0.06924719929815266,-0.035702485170253116,0.003063890463139904,0.004356061264920647,0.006994479590031509,0.00766006569961298,-0.014059129392382864,0.005993866576188922,-0.002864405623992047
12,-0.049894780769717456,-0.07836517674618189,-0.066717668788524,-0.06002805342903135,-0.028751785913155078,0.004054719838872267,0.002262039257883987,0.007078524249862038,0.007551210138833383,-0.013764760940562878,0.00707690871135128,-0.0017585662834085436
