,freq_p_change,control_cum_log_price_lag1,control_cum_log_price_lag2,control_cum_log_price_lag3,control_cum_log_price_lag4,std_MP_median_lag1,std_MP_median_lag2,std_MP_median_lag3,std_MP_median_lag4,upstreamness,std_MP_median,std_MP_median_upstreamness
0,0.02160553564711301,0.005997272642806475,0.0031229279834008895,0.004421277433928046,0.0035622974266630654,0.0009619543755030647,0.0007478542727018098,0.0008710912704135926,0.0009142190060785142,0.0012225614980393932,0.0011982908801230691,0.0005602546726975251
1,0.035230039518050205,0.008198910011807751,0.005945524545316358,0.005764865447935121,0.006031992310042603,0.0015451500201331889,0.0011855733126597402,0.001367472572467859,0.001264858152293044,0.0021379408132137082,0.0021767054400050885,0.0007621597508554126
2,0.043335234720546276,0.0118681846783129,0.00802866606763859,0.011356865295372644,0.008681204228646367,0.0018446905124371623,0.0016976554699092926,0.0019001133815493608,0.0014789698514275,0.002893211630981538,0.0029720236691387646,0.0010223298718711332
3,0.04627200983759257,0.011943044560842704,0.012846413889960419,0.018187909167944116,0.01377530614683578,0.002158850524584092,0.0024350973473338633,0.0022245736445633347,0.0016978762707736544,0.0036234193286566207,0.0034241431227730063,0.0012022073563961227
4,0.05075916524579494,0.016228519763636443,0.01896757559723074,0.02232822691601334,0.013667238511516229,0.002984470678802877,0.0026933388278389766,0.0024451461321619446,0.0027543852470268866,0.004491125449232123,0.003831077489348807,0.001358940541128191
5,0.05040624173840227,0.020960235692476008,0.022546349390777452,0.019624520127879616,0.012971189769398324,0.003331646480460647,0.002997071636144832,0.003040210071865995,0.0029279278632247615,0.004555717851216376,0.004395540743524954,0.001530189703561148
6,0.05060070579053596,0.0237589313317004,0.019975621374676816,0.020270466022042074,0.013947274955259627,0.0038329519694943344,0.0037981893487321647,0.003536043504597123,0.003330972117778332,0.004640173444817155,0.005119275097241611,0.001715052279519297
7,0.054149082426295916,0.023185105490099084,0.021597427467898132,0.022407109743054047,0.01507032485749644,0.0046471067360840486,0.004246829646819995,0.003821992978357566,0.0038366686330862576,0.004831679234178765,0.0059051414600390165,0.0019078088109042227
8,0.05516374967910835,0.022772493808308373,0.025039732345564544,0.024839310578861663,0.013813022044136453,0.005134991226062298,0.004745152554155308,0.004419146065049478,0.0046937557395826165,0.004743996113499261,0.006669602664186888,0.0020915731517078613
9,0.05199968018172041,0.023811297237949367,0.02290771081856628,0.0174989084203424,0.012829079856666726,0.005275608491660432,0.005209102261732455,0.004763687624845018,0.003351435777704347,0.005111867842790609,0.007279755350349445,0.0022015238007457184
10,0.05071366418360714,0.02172428794464817,0.01774006855364778,0.017004715808640023,0.011795749047066,0.005317323681439418,0.005424176941477642,0.003530660963980205,0.00302429993082091,0.005108876799488115,0.007570858669716766,0.0021422359370528088
11,0.05209508749033352,0.016007994370381175,0.016637155295476956,0.017814623517757453,0.010226498540318669,0.005577517226890956,0.004033981503392805,0.0034939817353962493,0.002598691020517809,0.005470991076728019,0.0074264919238024455,0.0018409049363717481
12,0.0582530120612642,0.015968890064169516,0.016478085664327638,0.014221160074539514,0.008800842674738471,0.004323729509882002,0.003829171078804238,0.0033047583118973245,0.0024890426629342296,0.0053707869732950485,0.006952857773484958,0.0014353580368669544
